#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
#Parameters:,,,,,
#Data:,,,,,
Time,Bias,Frequency,Temperature,R,X
1719409099,0.01,2484.38,nan,616642,-1362240
1719409102,0.01,2542.37,nan,601600,-1341450
1719409105,0.01,2601.71,nan,586713,-1319970
1719409107,0.01,2662.43,nan,572183,-1299650
1719409110,0.01,2724.57,nan,557595,-1279110
1719409113,0.01,2788.17,nan,543655,-1258700
1719409116,0.01,2853.24,nan,530284,-1238720
1719409119,0.01,2919.84,nan,517019,-1218840
1719409121,0.01,2987.99,nan,503908,-1199300
1719409124,0.01,3057.73,nan,491134,-1180150
1719409127,0.01,3129.1,nan,478589,-1161300
1719409129,0.01,3202.13,nan,466462,-1142260
1719409132,0.01,3276.87,nan,454595,-1123680
1719409135,0.01,3353.35,nan,442882,-1105380
1719409138,0.01,3431.62,nan,431233,-1086750
1719409140,0.01,3511.71,nan,419900,-1069160
1719409143,0.01,3593.68,nan,409163,-1051000
1719409146,0.01,3677.55,nan,398431,-1033600
1719409148,0.01,3763.39,nan,388276,-1016500
1719409151,0.01,3851.23,nan,377978,-999222
1719409154,0.01,3941.12,nan,368208,-982443
1719409157,0.01,4033.1,nan,358347,-965469
1719409160,0.01,4127.24,nan,348869,-949097
1719409162,0.01,4223.57,nan,339654,-932581
1719409165,0.01,4322.15,nan,330526,-916815
1719409168,0.01,4423.02,nan,321657,-900898
1719409171,0.01,4526.26,nan,313281,-885345
1719409174,0.01,4631.9,nan,304865,-869874
1719409176,0.01,4740.01,nan,296719,-854814
1719409179,0.01,4850.65,nan,288620,-839734
1719409182,0.01,4963.86,nan,280865,-824984
1719409185,0.01,5079.72,nan,273330,-810455
1719409187,0.01,5198.28,nan,266138,-796234
1719409190,0.01,5319.61,nan,258736,-781926
1719409193,0.01,5443.77,nan,251772,-768007
1719409196,0.01,5570.83,nan,244995,-754395
1719409198,0.01,5700.85,nan,238275,-740739
1719409201,0.01,5833.91,nan,231843,-727518
1719409204,0.01,5970.08,nan,225481,-714287
1719409207,0.01,6109.42,nan,219317,-701473
1719409209,0.01,6252.01,nan,213245,-688671
1719409212,0.01,6397.94,nan,207407,-676039
1719409215,0.01,6547.27,nan,201710,-663715
1719409218,0.01,6700.08,nan,196135,-651558
1719409220,0.01,6856.46,nan,190763,-639641
1719409223,0.01,7016.49,nan,185464,-627798
1719409226,0.01,7180.26,nan,180349,-616185
1719409229,0.01,7347.85,nan,175368,-604698
1719409231,0.01,7519.35,nan,170495,-593501
1719409234,0.01,7694.85,nan,165741,-582401
1719409237,0.01,7874.45,nan,161097,-571538
1719409239,0.01,8058.24,nan,156602,-560742
1719409242,0.01,8246.33,nan,152323,-550175
1719409245,0.01,8438.8,nan,147984,-539819
1719409248,0.01,8635.76,nan,143857,-529608
1719409251,0.01,8837.32,nan,139897,-519620
1719409254,0.01,9043.58,nan,136012,-509738
1719409256,0.01,9254.66,nan,132158,-499996
1719409259,0.01,9470.67,nan,128473,-490428
1719409262,0.01,9691.72,nan,124887,-481053
1719409265,0.01,9917.92,nan,121393,-471862
1719409267,0.01,10149.41,nan,117954,-462763
1719409270,0.01,10386.3,nan,114606,-453716
1719409273,0.01,10628.72,nan,111458,-445001
1719409276,0.01,10876.79,nan,108324,-436311
1719409278,0.01,11130.66,nan,105366,-428002
1719409281,0.01,11390.45,nan,102414,-419686
1719409284,0.01,11656.31,nan,99531.3,-411351
1719409286,0.01,11928.37,nan,96770,-403397
1719409289,0.01,12206.78,nan,94024.1,-395472
1719409292,0.01,12491.69,nan,91450.2,-387848
1719409295,0.01,12783.25,nan,88908.4,-380301
1719409297,0.01,13081.61,nan,86400.6,-372793
1719409300,0.01,13386.94,nan,83956.9,-365346
1719409303,0.01,13699.39,nan,81603.3,-358168
1719409305,0.01,14019.14,nan,79331.4,-351095
1719409308,0.01,14346.35,nan,77089,-344072
1719409311,0.01,14681.2,nan,74963,-337333
1719409314,0.01,15023.86,nan,72893,-330674
1719409316,0.01,15374.52,nan,70864.1,-324090
1719409319,0.01,15733.36,nan,68881.6,-317591
1719409322,0.01,16100.58,nan,66951.5,-311197
1719409324,0.01,16476.37,nan,65073.8,-304891
1719409327,0.01,16860.94,nan,63283.6,-298832
1719409330,0.01,17254.47,nan,61537.6,-292884
1719409333,0.01,17657.2,nan,59813.2,-286869
1719409336,0.01,18069.32,nan,58179.2,-281103
1719409338,0.01,18491.06,nan,56589.8,-275460
1719409341,0.01,18922.65,nan,55024,-269910
1719409344,0.01,19364.31,nan,53517.3,-264440
1719409346,0.01,19816.27,nan,52031.8,-258981
1719409349,0.01,20278.79,nan,50613.2,-253743
1719409352,0.01,20752.1,nan,49248,-248619
1719409355,0.01,21236.46,nan,47891.2,-243491
1719409357,0.01,21732.12,nan,46607.2,-238570
1719409360,0.01,22239.35,nan,45346.4,-233674
1719409363,0.01,22758.43,nan,44117.5,-228871
1719409365,0.01,23289.61,nan,42936.1,-224186
1719409368,0.01,23833.2,nan,41790.8,-219615
1719409371,0.01,24389.47,nan,40671.6,-215068
1719409373,0.01,24958.72,nan,39590.1,-210622
1719409376,0.01,25541.27,nan,38543.3,-206299
1719409379,0.01,26137.4,nan,37522.4,-202014
1719409381,0.01,26747.46,nan,36539,-197842
1719409384,0.01,27371.75,nan,35589.2,-193774
1719409387,0.01,28010.61,nan,34651,-189752
1719409389,0.01,28664.38,nan,33769.8,-185837
1719409392,0.01,29333.42,nan,32896.3,-181968
1719409395,0.01,30018.07,nan,32047.6,-178164
1719409397,0.01,30718.69,nan,31225.3,-174456
1719409400,0.01,31435.67,nan,30427.8,-170811
1719409403,0.01,32169.39,nan,29658.5,-167260
1719409406,0.01,32920.23,nan,28917,-163777
1719409408,0.01,33688.6,nan,28187.5,-160343
1719409411,0.01,34474.89,nan,27494,-157018
1719409414,0.01,35279.55,nan,26809.9,-153708
1719409416,0.01,36102.98,nan,26153.8,-150500
1719409419,0.01,36945.63,nan,25510.7,-147308
1719409422,0.01,37807.95,nan,24894.2,-144226
1719409425,0.01,38690.39,nan,24296.6,-141201
1719409427,0.01,39593.44,nan,23718.1,-138240
1719409430,0.01,40517.55,nan,23149.5,-135310
1719409433,0.01,41463.24,nan,22608,-132477
1719409435,0.01,42431,nan,22078.4,-129675
1719409438,0.01,43421.35,nan,21564.8,-126935
1719409440,0.01,44434.82,nan,21072.5,-124263
1719409443,0.01,45471.93,nan,20587.1,-121628
1719409446,0.01,46533.26,nan,20120.9,-119062
1719409448,0.01,47619.35,nan,19669,-116530
1719409451,0.01,48730.8,nan,19232.2,-114066
1719409454,0.01,49868.19,nan,18807,-111638
1719409456,0.01,51032.12,nan,18400,-109275
1719409459,0.01,52223.22,nan,18000.3,-106956
1719409462,0.01,53442.12,nan,17616.3,-104683
1719409464,0.01,54689.47,nan,17242.8,-102452
1719409467,0.01,55965.94,nan,16878.6,-100266
1719409469,0.01,57272.19,nan,16532.8,-98142.2
1719409472,0.01,58608.94,nan,16192.8,-96049.6
1719409475,0.01,59976.88,nan,15863.4,-94002.5
1719409477,0.01,61376.76,nan,15545.6,-91995.7
1719409480,0.01,62809.3,nan,15239.9,-90032.9
1719409483,0.01,64275.29,nan,14938.4,-88108.6
1719409485,0.01,65775.49,nan,14649.8,-86227.4
1719409488,0.01,67310.7,nan,14369.4,-84392.2
1719409491,0.01,68881.75,nan,14100.5,-82592.9
1719409493,0.01,70489.46,nan,13837.6,-80827.9
1719409496,0.01,72134.7,nan,13583.7,-79105.3
1719409499,0.01,73818.34,nan,13336,-77408.5
1719409501,0.01,75541.27,nan,13097.9,-75756.1
1719409504,0.01,77304.42,nan,12867.8,-74138
1719409507,0.01,79108.72,nan,12642.5,-72547.1
1719409509,0.01,80955.14,nan,12424.5,-70992
1719409512,0.01,82844.65,nan,12216.7,-69480.2
1719409515,0.01,84778.26,nan,12012.7,-67987.2
1719409517,0.01,86757,nan,11815.2,-66533.7
1719409520,0.01,88781.93,nan,11623.6,-65113.1
1719409523,0.01,90854.12,nan,11438.6,-63719.8
1719409525,0.01,92974.67,nan,11260.2,-62355.9
1719409528,0.01,95144.72,nan,11085,-61021.8
1719409530,0.01,97365.42,nan,10915.5,-59711.2
1719409533,0.01,99637.95,nan,10752,-58436.9
1719409536,0.01,101963.52,nan,10587.9,-57172.3
1719409538,0.01,104343.37,nan,10437.8,-55992.9
1719409541,0.01,106778.77,nan,10286.9,-54764.5
1719409544,0.01,109271.01,nan,10142.1,-53591.5
1719409546,0.01,111821.42,nan,10004.8,-52470.7
1719409549,0.01,114431.35,nan,9869.33,-51354.7
1719409551,0.01,117102.2,nan,9737.07,-50247.8
1719409554,0.01,119835.39,nan,9611.39,-49189.5
1719409557,0.01,122632.38,nan,9487.58,-48140.2
1719409559,0.01,125494.64,nan,9367.12,-47101.6
1719409562,0.01,128423.71,nan,9249.9,-46107.1
1719409565,0.01,131421.15,nan,9136.25,-45125.1
1719409567,0.01,134488.55,nan,9024.94,-44154.7
1719409570,0.01,137627.54,nan,8920.59,-43230.7
1719409573,0.01,140839.8,nan,8816.77,-42316
1719409575,0.01,144127.03,nan,8714.69,-41415.5
1719409578,0.01,147490.98,nan,8616.48,-40528.7
1719409581,0.01,150933.45,nan,8522.49,-39682.4
1719409583,0.01,154456.27,nan,8426.58,-38825.3
1719409586,0.01,158061.31,nan,8338.66,-38006.7
1719409589,0.01,161750.5,nan,8250.57,-37203.8
1719409591,0.01,165525.79,nan,8167.23,-36435.7
1719409594,0.01,169389.2,nan,8083.99,-35662.4
1719409597,0.01,173342.78,nan,8005.77,-34924.8
1719409599,0.01,177388.63,nan,7924.95,-34181.9
1719409602,0.01,181528.92,nan,7848.61,-33474.6
1719409604,0.01,185765.85,nan,7769.02,-32761.4
1719409607,0.01,190101.66,nan,7698.71,-32085.8
1719409610,0.01,194538.67,nan,7628.56,-31424.5
1719409612,0.01,199079.25,nan,7556.25,-30763
1719409615,0.01,203725.8,nan,7489.65,-30131.5
1719409618,0.01,208480.8,nan,7422.92,-29502.9
1719409620,0.01,213346.79,nan,7358.42,-28902
1719409623,0.01,218326.35,nan,7295.76,-28304.8
1719409625,0.01,223422.13,nan,7233.47,-27723.1
1719409628,0.01,228636.85,nan,7172.26,-27157.2
1719409631,0.01,233973.28,nan,7112.9,-26595.8
1719409633,0.01,239434.27,nan,7054.16,-26059.3
1719409636,0.01,245022.72,nan,6995.3,-25528.2
1719409639,0.01,250741.6,nan,6938.98,-25013.6
1719409641,0.01,256593.96,nan,6882.79,-24504.1
1719409644,0.01,262582.92,nan,6826.36,-24009.1
1719409647,0.01,268711.66,nan,6773.06,-23530.2
1719409649,0.01,274983.45,nan,6718.42,-23057
1719409652,0.01,281401.62,nan,6665.47,-22598.6
1719409655,0.01,287969.59,nan,6612.81,-22147.5
1719409657,0.01,294690.86,nan,6561.46,-21711.1
1719409660,0.01,301569.01,nan,6509.64,-21280.7
1719409663,0.01,308607.69,nan,6458.18,-20865
1719409665,0.01,315810.66,nan,6409.14,-20457.1
1719409668,0.01,323181.75,nan,6360.1,-20057.9
1719409671,0.01,330724.88,nan,6310.23,-19670.6
1719409673,0.01,338444.07,nan,6261.48,-19291.5
1719409676,0.01,346343.43,nan,6211.77,-18919.7
1719409679,0.01,354427.16,nan,6163.53,-18557.4
1719409681,0.01,362699.56,nan,6114.82,-18202.8
1719409684,0.01,371165.05,nan,6067.08,-17855.4
1719409687,0.01,379828.12,nan,6019.41,-17521.8
1719409689,0.01,388693.39,nan,5971,-17191.2
1719409692,0.01,397765.57,nan,5923.57,-16869.4
1719409694,0.01,407049.5,nan,5875.66,-16558.4
1719409697,0.01,416550.13,nan,5827.75,-16249.2
1719409700,0.01,426272.49,nan,5779.64,-15950.8
1719409702,0.01,436221.78,nan,5732.84,-15661.3
1719409705,0.01,446403.29,nan,5684.39,-15375.8
1719409707,0.01,456822.44,nan,5636.07,-15097.9
1719409710,0.01,467484.77,nan,5588.22,-14825.5
1719409713,0.01,478395.97,nan,5539.52,-14560.6
1719409715,0.01,489561.83,nan,5491.56,-14301.3
1719409718,0.01,500988.31,nan,5442.71,-14049.4
1719409721,0.01,512681.48,nan,5393.75,-13801.9
1719409723,0.01,524647.58,nan,5345.92,-13561.9
1719409726,0.01,536892.96,nan,5296.12,-13325.7
1719409729,0.01,549424.16,nan,5246.71,-13096.3
1719409731,0.01,562247.83,nan,5196.69,-12872.1
1719409734,0.01,575370.82,nan,5146.51,-12651.7
1719409737,0.01,588800.1,nan,5096.6,-12437.6
1719409739,0.01,602542.81,nan,5046.72,-12228.9
1719409742,0.01,616606.29,nan,4995.72,-12023.2
1719409745,0.01,630998.01,nan,4943.82,-11823.5
1719409747,0.01,645725.64,nan,4892.76,-11628.1
1719409750,0.01,660797.01,nan,4841.64,-11436.9
1719409753,0.01,676220.16,nan,4789.26,-11249.6
1719409755,0.01,692003.28,nan,4737.18,-11066.7
1719409758,0.01,708154.78,nan,4684.79,-10888.1
1719409761,0.01,724683.26,nan,4631.69,-10712.5
1719409763,0.01,741597.53,nan,4578.97,-10540.7
1719409766,0.01,758906.57,nan,4525.43,-10373.2
1719409768,0.01,776619.61,nan,4471.7,-10209.2
1719409771,0.01,794746.08,nan,4417.43,-10048.1
1719409774,0.01,813295.62,nan,4363.14,-9890.05
1719409776,0.01,832278.11,nan,4309.68,-9736.31
1719409779,0.01,851703.66,nan,4254.91,-9584.22
1719409781,0.01,871582.6,nan,4199.38,-9436.05
1719409784,0.01,891925.53,nan,4145.33,-9291.11
1719409787,0.01,912743.26,nan,4090.16,-9148.44
1719409789,0.01,934046.88,nan,4034.41,-9008.63
1719409792,0.01,955847.73,nan,3979.36,-8871.74
1719409794,0.01,978157.42,nan,3923.82,-8735.38
1719409797,0.01,1000987.82,nan,3868.16,-8603.47
1719409800,0.01,1024351.09,nan,3813.38,-8475.06
1719409802,0.01,1048259.66,nan,3761.8,-8346.64
1719409805,0.01,1072726.26,nan,3704.94,-8218.96
1719409808,0.01,1097763.92,nan,3649.45,-8095.47
1719409810,0.01,1123385.96,nan,3595.35,-7976.82
1719409813,0.01,1149606.03,nan,3538.08,-7854.23
1719409816,0.01,1176438.08,nan,3484.27,-7740.1
1719409818,0.01,1203896.39,nan,3427.9,-7622.58
1719409821,0.01,1231995.59,nan,3373.27,-7509.83
1719409824,0.01,1260750.63,nan,3317.95,-7396.9
1719409826,0.01,1290176.82,nan,3263.79,-7288.41
1719409829,0.01,1320289.82,nan,3209.52,-7180.25
1719409832,0.01,1351105.66,nan,3154.59,-7072.22
1719409834,0.01,1382640.76,nan,3100.06,-6966.31
1719409837,0.01,1414911.88,nan,3047.16,-6863.24
1719409839,0.01,1447936.23,nan,2993.83,-6760.85
1719409842,0.01,1481731.37,nan,2940.58,-6659.46
1719409845,0.01,1516315.29,nan,2888.44,-6561.24
1719409847,0.01,1551706.41,nan,2835.55,-6461.38
1719409850,0.01,1587923.57,nan,2784.16,-6365.32
1719409853,0.01,1624986.04,nan,2731.99,-6269.88
1719409855,0.01,1662913.56,nan,2681.26,-6175.6
1719409858,0.01,1701726.32,nan,2630.33,-6081.88
1719409860,0.01,1741444.97,nan,2580.94,-5991.98
1719409863,0.01,1782090.66,nan,2530.83,-5900.69
1719409865,0.01,1823685.04,nan,2481.46,-5810.07
1719409868,0.01,1866250.24,nan,2433.9,-5722.26
1719409871,0.01,1909808.91,nan,2385.21,-5635.24
1719409873,0.01,1954384.26,nan,2339.07,-5550.28
1719409876,0.01,2000000,nan,2292.65,-5464.6
1719409880,0.05,20,nan,11116900,-3737400
1719409885,0.05,20.47,nan,11383700,-3781430
1719409890,0.05,20.94,nan,11381900,-3782270
1719409895,0.05,21.43,nan,11265500,-3763460
1719409899,0.05,21.93,nan,11188100,-3747470
1719409903,0.05,22.45,nan,11130700,-3793430
1719409908,0.05,22.97,nan,11068000,-3753990
1719409912,0.05,23.51,nan,11050500,-3776260
1719409916,0.05,24.05,nan,11022800,-3723470
1719409920,0.05,24.62,nan,10993200,-3760000
1719409927,0.05,25.19,nan,10906600,-3761690
1719409933,0.05,25.78,nan,10829200,-3778330
1719409939,0.05,26.38,nan,10756000,-3769470
1719409945,0.05,27,nan,10727200,-3782680
1719409951,0.05,27.63,nan,10690800,-3776940
1719409958,0.05,28.27,nan,10604800,-3801110
1719409963,0.05,28.93,nan,10555800,-3797120
1719409969,0.05,29.61,nan,10512300,-3788040
1719409974,0.05,30.3,nan,10485700,-3769900
1719409979,0.05,31,nan,10430500,-3808000
1719409984,0.05,31.73,nan,10417300,-3816200
1719409990,0.05,32.47,nan,10312600,-3794030
1719409995,0.05,33.23,nan,10237400,-3846610
1719409999,0.05,34,nan,10233600,-3878870
1719410004,0.05,34.79,nan,9994920,-3820240
1719410009,0.05,35.61,nan,10069800,-3812800
1719410013,0.05,36.44,nan,10045000,-3847210
1719410018,0.05,37.29,nan,9975160,-3847670
1719410022,0.05,38.16,nan,9918040,-3858550
1719410027,0.05,39.05,nan,9854460,-3859120
