#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
#Parameters:,,,,,
#Data:,,,,,
Time,Bias,Frequency,Temperature,R,X
1719396157,0,1332.53,nan,1159350,-2005090
1719396160,0,1363.63,nan,1133480,-1977500
1719396163,0,1395.46,nan,1109520,-1952140
1719396166,0,1428.03,nan,1084430,-1924070
1719396168,0,1461.36,nan,1060110,-1898110
1719396171,0,1495.47,nan,1037380,-1871690
1719396174,0,1530.37,nan,1013810,-1845970
1719396177,0,1566.09,nan,990880,-1819610
1719396179,0,1602.65,nan,967886,-1793670
1719396182,0,1640.05,nan,945877,-1769010
1719396185,0,1678.33,nan,924826,-1744550
1719396187,0,1717.5,nan,903660,-1718800
1719396190,0,1757.59,nan,882579,-1693950
1719396193,0,1798.61,nan,862756,-1669750
1719396195,0,1840.59,nan,842702,-1645680
1719396198,0,1883.55,nan,823195,-1622000
1719396201,0,1927.52,nan,804053,-1598220
1719396204,0,1972.5,nan,784650,-1574630
1719396206,0,2018.54,nan,765779,-1550730
1719396209,0,2065.66,nan,748099,-1527770
1719396212,0,2113.87,nan,730099,-1505550
1719396215,0,2163.21,nan,713083,-1482840
1719396217,0,2213.7,nan,695929,-1460510
1719396220,0,2265.37,nan,679527,-1438770
1719396223,0,2318.24,nan,662771,-1416740
1719396226,0,2372.35,nan,646917,-1395050
1719396228,0,2427.72,nan,631047,-1373940
1719396231,0,2484.38,nan,615755,-1352870
1719396234,0,2542.37,nan,600773,-1332060
1719396236,0,2601.71,nan,585565,-1311040
1719396239,0,2662.43,nan,571510,-1290660
1719396242,0,2724.57,nan,557090,-1270070
1719396245,0,2788.17,nan,543464,-1250530
1719396247,0,2853.24,nan,529610,-1230850
1719396250,0,2919.84,nan,516218,-1211020
1719396253,0,2987.99,nan,503235,-1191640
1719396256,0,3057.73,nan,490429,-1172500
1719396258,0,3129.1,nan,478188,-1153630
1719396261,0,3202.13,nan,465979,-1135130
1719396264,0,3276.87,nan,454285,-1116560
1719396266,0,3353.35,nan,442665,-1098590
1719396269,0,3431.62,nan,430974,-1080130
1719396272,0,3511.71,nan,420060,-1062460
1719396274,0,3593.68,nan,409137,-1044940
1719396277,0,3677.55,nan,398341,-1027640
1719396280,0,3763.39,nan,388300,-1010410
1719396283,0,3851.23,nan,377876,-993392
1719396285,0,3941.12,nan,368059,-976829
1719396288,0,4033.1,nan,358468,-960055
1719396291,0,4127.24,nan,348911,-943705
1719396293,0,4223.57,nan,339813,-927619
1719396296,0,4322.15,nan,330746,-911832
1719396299,0,4423.02,nan,321913,-896150
1719396302,0,4526.26,nan,313314,-880639
1719396305,0,4631.9,nan,304937,-865413
1719396307,0,4740.01,nan,296903,-850400
1719396310,0,4850.65,nan,289007,-835365
1719396313,0,4963.86,nan,281025,-820822
1719396315,0,5079.72,nan,273548,-806487
1719396318,0,5198.28,nan,266177,-792247
1719396321,0,5319.61,nan,258953,-778149
1719396324,0,5443.77,nan,251980,-764219
1719396326,0,5570.83,nan,245139,-750823
1719396329,0,5700.85,nan,238550,-737303
1719396332,0,5833.91,nan,231914,-724121
1719396334,0,5970.08,nan,225628,-711103
1719396337,0,6109.42,nan,219468,-698322
1719396340,0,6252.01,nan,213482,-685610
1719396343,0,6397.94,nan,207485,-673157
1719396345,0,6547.27,nan,201902,-660888
1719396348,0,6700.08,nan,196246,-648756
1719396351,0,6856.46,nan,190906,-636923
1719396353,0,7016.49,nan,185705,-625154
1719396356,0,7180.26,nan,180496,-613679
1719396359,0,7347.85,nan,175422,-602275
1719396361,0,7519.35,nan,170604,-591227
1719396364,0,7694.85,nan,165808,-580202
1719396367,0,7874.45,nan,161223,-569355
1719396370,0,8058.24,nan,156709,-558739
1719396372,0,8246.33,nan,152321,-548295
1719396375,0,8438.8,nan,148078,-537918
1719396378,0,8635.76,nan,143937,-527805
1719396380,0,8837.32,nan,139878,-517855
1719396383,0,9043.58,nan,135970,-508053
1719396386,0,9254.66,nan,132143,-498366
1719396389,0,9470.67,nan,128437,-488882
1719396391,0,9691.72,nan,124835,-479597
1719396394,0,9917.92,nan,121266,-470378
1719396397,0,10149.41,nan,117879,-461351
1719396399,0,10386.3,nan,114511,-452401
1719396402,0,10628.72,nan,111319,-443760
1719396405,0,10876.79,nan,108108,-435109
1719396407,0,11130.66,nan,105182,-426843
1719396410,0,11390.45,nan,102176,-418565
1719396413,0,11656.31,nan,99303.9,-410325
1719396415,0,11928.37,nan,96502.2,-402405
1719396418,0,12206.78,nan,93758.8,-394542
1719396421,0,12491.69,nan,91164.6,-386969
1719396423,0,12783.25,nan,88629.1,-379439
1719396426,0,13081.61,nan,86075.4,-371997
1719396429,0,13386.94,nan,83623.1,-364553
1719396431,0,13699.39,nan,81239,-357439
1719396434,0,14019.14,nan,78947.6,-350395
1719396437,0,14346.35,nan,76681.6,-343408
1719396439,0,14681.2,nan,74530.3,-336695
1719396442,0,15023.86,nan,72431.8,-330069
1719396445,0,15374.52,nan,70374.3,-323520
1719396447,0,15733.36,nan,68391.8,-317044
1719396450,0,16100.58,nan,66437.7,-310700
1719396453,0,16476.37,nan,64528,-304416
1719396455,0,16860.94,nan,62739.4,-298396
1719396458,0,17254.47,nan,60968,-292476
1719396461,0,17657.2,nan,59215.3,-286503
1719396464,0,18069.32,nan,57562,-280764
1719396466,0,18491.06,nan,55953.5,-275125
1719396469,0,18922.65,nan,54380.1,-269587
1719396472,0,19364.31,nan,52847.9,-264155
