BI,BI log,BV,AI,AV,VDEVICE,RESISTANCE,,AV,BIAbs
-1.12E-04,-3.95E+00,-1.70E-05,1.12E-04,9.20E-01,8.67E-01,7.75E+03,,1.840000033,0.001812917
-1.06E-04,-3.97E+00,-1.63E-05,1.06E-04,9.10E-01,8.60E-01,8.13E+03,,1.845000029,0.001850627
-9.97E-05,-4.00E+00,-1.63E-05,9.98E-05,9.00E-01,8.53E-01,8.55E+03,,1.850000024,0.001890832
-9.38E-05,-4.03E+00,-1.67E-05,9.39E-05,8.90E-01,8.45E-01,9.01E+03,,1.855000019,0.001933206
-8.81E-05,-4.06E+00,-1.67E-05,8.82E-05,8.80E-01,8.38E-01,9.51E+03,,1.860000014,0.001978703
-8.25E-05,-4.08E+00,-1.58E-05,8.26E-05,8.70E-01,8.31E-01,1.01E+04,,1.86500001,0.002027228
-7.71E-05,-4.11E+00,-1.61E-05,7.72E-05,8.60E-01,8.23E-01,1.07E+04,,1.870000005,0.002079999
-7.19E-05,-4.14E+00,-1.67E-05,7.19E-05,8.50E-01,8.16E-01,1.13E+04,,1.875,0.002137141
-6.68E-05,-4.18E+00,-1.61E-05,6.69E-05,8.40E-01,8.08E-01,1.21E+04,,1.879999995,0.002200587
-6.20E-05,-4.21E+00,-1.58E-05,6.20E-05,8.30E-01,8.01E-01,1.29E+04,,1.88499999,0.002271065
-5.72E-05,-4.24E+00,-1.65E-05,5.73E-05,8.20E-01,7.93E-01,1.38E+04,,1.889999986,0.00235212
-5.27E-05,-4.28E+00,-1.57E-05,5.28E-05,8.10E-01,7.85E-01,1.49E+04,,1.894999981,0.002447029
-4.84E-05,-4.32E+00,-1.55E-05,4.85E-05,8.00E-01,7.77E-01,1.60E+04,,1.899999976,0.002565779
-4.43E-05,-4.35E+00,-1.49E-05,4.44E-05,7.90E-01,7.69E-01,1.74E+04,,1.904999971,0.002730376
-4.04E-05,-4.39E+00,-1.56E-05,4.04E-05,7.80E-01,7.61E-01,1.88E+04,,1.909999967,0.031631116
-3.67E-05,-4.44E+00,-2.02E-05,3.67E-05,7.70E-01,7.53E-01,2.05E+04,,1.914999962,0.031826552
-3.33E-05,-4.48E+00,-1.99E-05,3.33E-05,7.60E-01,7.44E-01,2.24E+04,,1.919999957,0.03201583
-3.00E-05,-4.52E+00,-1.81E-05,3.00E-05,7.50E-01,7.36E-01,2.45E+04,,1.924999952,0.032204352
-2.69E-05,-4.57E+00,-1.79E-05,2.69E-05,7.40E-01,7.27E-01,2.70E+04,,1.929999948,0.032389957
-2.41E-05,-4.62E+00,-1.76E-05,2.41E-05,7.30E-01,7.19E-01,2.98E+04,,1.934999943,0.032570962
-2.15E-05,-4.67E+00,-1.66E-05,2.15E-05,7.20E-01,7.10E-01,3.31E+04,,1.940000057,0.032751754
-1.90E-05,-4.72E+00,-1.63E-05,1.90E-05,7.10E-01,7.01E-01,3.69E+04,,1.945000052,0.032929871
-1.68E-05,-4.77E+00,-1.57E-05,1.68E-05,7.00E-01,6.92E-01,4.13E+04,,1.950000048,0.033107013
-1.47E-05,-4.83E+00,-1.65E-05,1.47E-05,6.90E-01,6.83E-01,4.64E+04,,1.955000043,0.033281062
-1.29E-05,-4.89E+00,-1.45E-05,1.29E-05,6.80E-01,6.74E-01,5.24E+04,,1.960000038,0.033451743
-1.12E-05,-4.95E+00,-1.44E-05,1.12E-05,6.70E-01,6.65E-01,5.96E+04,,1.965000033,0.033616073
-9.64E-06,-5.02E+00,-1.54E-05,9.64E-06,6.60E-01,6.56E-01,6.80E+04,,1.970000029,0.033785954
-8.27E-06,-5.08E+00,-1.35E-05,8.28E-06,6.50E-01,6.46E-01,7.81E+04,,1.975000024,0.033956971
-7.06E-06,-5.15E+00,-1.38E-05,7.06E-06,6.40E-01,6.37E-01,9.02E+04,,1.980000019,0.034125742
-5.98E-06,-5.22E+00,-1.32E-05,5.98E-06,6.30E-01,6.27E-01,1.05E+05,,1.985000014,0.034291286
-5.04E-06,-5.30E+00,-1.35E-05,5.04E-06,6.20E-01,6.18E-01,1.23E+05,,1.99000001,0.034456413
-4.21E-06,-5.38E+00,-1.28E-05,4.22E-06,6.10E-01,6.08E-01,1.44E+05,,1.995000005,0.034619816
-3.51E-06,-5.45E+00,-1.94E-05,3.51E-06,6.00E-01,5.98E-01,1.71E+05,,2,0.034781847
-2.90E-06,-5.54E+00,-1.89E-05,2.90E-06,5.90E-01,5.89E-01,2.03E+05,,2.005000114,0.034942735
-2.38E-06,-5.62E+00,-1.76E-05,2.38E-06,5.80E-01,5.79E-01,2.43E+05,,2.00999999,0.035104122
-1.94E-06,-5.71E+00,-1.68E-05,1.94E-06,5.70E-01,5.69E-01,2.93E+05,,2.015000105,0.03526089
-1.58E-06,-5.80E+00,-1.63E-05,1.58E-06,5.60E-01,5.59E-01,3.55E+05,,2.019999981,0.035416756
-1.27E-06,-5.90E+00,-1.47E-05,1.27E-06,5.50E-01,5.49E-01,4.32E+05,,2.025000095,0.035572961
-1.02E-06,-5.99E+00,-1.49E-05,1.02E-06,5.40E-01,5.40E-01,5.28E+05,,2.029999971,0.035729051
-8.20E-07,-6.09E+00,-1.46E-05,8.21E-07,5.30E-01,5.30E-01,6.46E+05,,2.035000086,0.035885762
-6.55E-07,-6.18E+00,-1.39E-05,6.56E-07,5.20E-01,5.20E-01,7.94E+05,,2.039999962,0.036039583
-5.22E-07,-6.28E+00,-1.37E-05,5.23E-07,5.10E-01,5.10E-01,9.76E+05,,2.045000076,0.036192849
-4.16E-07,-6.38E+00,-1.37E-05,4.17E-07,5.00E-01,5.00E-01,1.20E+06,,2.049999952,0.036343545
-3.32E-07,-6.48E+00,-1.98E-05,3.32E-07,4.90E-01,4.90E-01,1.48E+06,,2.055000067,0.03649541
-2.65E-07,-6.58E+00,-1.78E-05,2.65E-07,4.80E-01,4.80E-01,1.81E+06,,2.059999943,0.036645003
-2.11E-07,-6.68E+00,-1.71E-05,2.11E-07,4.70E-01,4.70E-01,2.23E+06,,2.065000057,0.0367947
-1.69E-07,-6.77E+00,-1.66E-05,1.69E-07,4.60E-01,4.60E-01,2.73E+06,,2.069999933,0.036942903
-1.35E-07,-6.87E+00,-1.54E-05,1.36E-07,4.50E-01,4.50E-01,3.32E+06,,2.075000048,0.037091237
-1.09E-07,-6.96E+00,-1.56E-05,1.09E-07,4.40E-01,4.40E-01,4.03E+06,,2.079999924,0.037238628
-8.85E-08,-7.05E+00,-1.48E-05,8.86E-08,4.30E-01,4.30E-01,4.86E+06,,2.085000038,0.037386496
-7.21E-08,-7.14E+00,-1.35E-05,7.23E-08,4.20E-01,4.20E-01,5.83E+06,,2.089999914,0.037531793
-5.92E-08,-7.23E+00,-1.32E-05,5.93E-08,4.10E-01,4.10E-01,6.93E+06,,2.095000029,0.037678465
-4.89E-08,-7.31E+00,-1.36E-05,4.91E-08,4.00E-01,4.00E-01,8.18E+06,,2.099999905,0.037823938
-4.08E-08,-7.39E+00,-1.27E-05,4.09E-08,3.90E-01,3.90E-01,9.57E+06,,2.099999905,0.037827391
-3.50E-08,-7.46E+00,-1.99E-05,3.49E-08,3.80E-01,3.80E-01,1.09E+07,,2.095000029,0.037690643
-2.94E-08,-7.53E+00,-1.83E-05,2.93E-08,3.70E-01,3.70E-01,1.26E+07,,2.089999914,0.037551828
-2.52E-08,-7.60E+00,-1.77E-05,2.51E-08,3.60E-01,3.60E-01,1.43E+07,,2.085000038,0.037412494
